ID,N_VICTIMAS,AAAA,VICTIMA,ACUSADO,COORDENADAS,SEMESTRE
2016-0177,1,2016,PEATON,AUTO,"-34.58788235, -58.40966671",2016_2
2016-0178,1,2016,PEATON,MULTIPLE,"-34.61544091, -58.40288226",2016_2
2017-0001,1,2017,MOTO,CARGAS,"-34.61028571, -58.46594230",2017_1
2017-0003,1,2017,CARGAS,CARGAS,"-34.64410277, -58.38957669",2017_1
2017-0007,1,2017,PEATON,MULTIPLE,"-34.61529543, -58.38161660",2017_1
2017-0008,1,2017,MOTO,PASAJEROS,"-34.58494351, -58.43917004",2017_1
2017-0009,1,2017,MOTO,CARGAS,"-34.62743346, -58.41595919",2017_1
2017-0010,1,2017,MOTO,AUTO,"-34.62828656, -58.43564880",2017_1
2017-0011,1,2017,MOTO,OBJETO FIJO,"-34.54979510, -58.50073810",2017_1
2017-0012,1,2017,MOTO,CARGAS,"-34.65055290, -58.40969005",2017_1
2017-0013,1,2017,PEATON,CARGAS,"-34.65098981, -58.38972622",2017_1
2017-0014,1,2017,MOTO,MULTIPLE,"-34.55046754, -58.49185972",2017_1
2017-0015,1,2017,PEATON,AUTO,"-34.59963642, -58.39293417",2017_1
2017-0016,1,2017,MOTO,CARGAS,"-34.62288231, -58.38099494",2017_1
2017-0017,1,2017,MOTO,AUTO,"-34.58095431, -58.42901200",2017_1
2017-0018,1,2017,MOTO,AUTO,"-34.66977709, -58.50877521",2017_1
2017-0021,1,2017,MOTO,PASAJEROS,"-34.60509972, -58.38362373",2017_1
2017-0024,1,2017,PEATON,PASAJEROS,"-34.62955795, -58.46589308",2017_1
2017-0025,1,2017,MOTO,SD,"-34.65424640, -58.43614426",2017_1
2017-0026,2,2017,AUTO,OBJETO FIJO,"-34.64979057, -58.41842777",2017_1
2017-0027,1,2017,PEATON,AUTO,"-34.63193250, -58.38332245",2017_1
2017-0028,1,2017,PEATON,AUTO,"-34.61196327, -58.45475488",2017_1
2017-0029,1,2017,SD,AUTO,"-34.64742455, -58.48501341",2017_1
2017-0030,1,2017,AUTO,PASAJEROS,"-34.65872088, -58.47010988",2017_1
2017-0031,1,2017,AUTO,OBJETO FIJO,"-34.62873635, -58.40997560",2017_1
2017-0032,1,2017,AUTO,AUTO,"-34.68359163, -58.48892175",2017_1
2017-0033,1,2017,AUTO,AUTO,"-34.60325478, -58.52466448",2017_1
2017-0034,1,2017,PEATON,AUTO,"-34.57929036, -58.42554218",2017_1
2017-0035,3,2017,AUTO,OBJETO FIJO,"-34.61113641, -58.35881506",2017_1
2017-0036,2,2017,MOTO,PASAJEROS,"-34.58159762, -58.51452347",2017_1
2017-0037,1,2017,MOTO,CARGAS,"-34.61799615, -58.38896772",2017_1
2017-0038,1,2017,MOTO,AUTO,"-34.64363363, -58.44516857",2017_1
2017-0040,1,2017,AUTO,MULTIPLE,"-34.54560369, -58.43834197",2017_1
